COD. OAE;DESCRITIVO;TIPO DE OAE;DISTRITO;RODOVIA;COD. TRECHO;DESCRITIVO;km;LATITUTE;LONGITUDE
1;Ponte sobre Rio Urubu;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0012;ENTR. DF-006 (EPCA) - ENTR. DF-442;2631;-15.717.124.576.250;-47.865.095.411.000
2;Ponte 1 sobre Córrego Tamanduá;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0014;ENTR. DF-442 - ENTR. DF-015 (EPTM);9418;-15.750.428.216.750;-47.814.948.902.250
3;Viaduto sobre DF003 - Eixo Monumental/Taguatinga;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0090;ENTR. DF-010 (EPAA) (ACESSO AO SAIN /SMU) - ENTR. EIXO MONUMENTAL;12929;-15.774.612.361.653;-47.937.965.129.068
4;Viaduto 1 na DF003 sobre rodovia de acesso ao SMU;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0090;ENTR. DF-010 (EPAA) (ACESSO AO SAIN /SMU) - ENTR. EIXO MONUMENTAL;10906;-15.758.446.956.227;-47.928.382.039.529
5;Viaduto 1 Colorado;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0010;ENTR. BR-020 (A)/BR-030 (A)/DF-003(EPIA)DF-001(EPCT) - ENTR. DF-440;244;-15.687.729.224.750;-47.857.120.883.000
6;Passarela sobre a DF 003 Colorado;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0010;ENTR. BR-020 (A)/BR-030 (A)/DF-003(EPIA)DF-001(EPCT) - ENTR. DF-440;46;-15.688.085.346.750;-47.859.010.587.750
7;Viaduto 2 Colorado;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0010;ENTR. BR-010/020/030/DF-001/DF-150 (PARQUE ROD. DER-DF) - ENTR. DF-007(EPTT) (GRANJA DO TORTO);163;-15.688.777.929.507;-47.860.781.869.501
8;Passarela sobre a DF 003 próximo ao Posto CPRv Col;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0010;ENTR. BR-010/020/030/DF-001/DF-150 (PARQUE ROD. DER-DF) - ENTR. DF-007(EPTT) (GRANJA DO TORTO);1330;-15.694.365.300.177;-47.871.856.053.795
9;Ponte 1 sobre Ribeirão do Torto;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0010;ENTR. BR-010/020/030/DF-001/DF-150 (PARQUE ROD. DER-DF) - ENTR. DF-007(EPTT) (GRANJA DO TORTO);4078;-15.707.811.015.860;-47.893.459.125.799
10;Ponte 2 sobre Ribeirão do Torto (Ampliada);PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0010;ENTR. BR-010/020/030/DF-001/DF-150 (PARQUE ROD. DER-DF) - ENTR. DF-007(EPTT) (GRANJA DO TORTO);4071;-15.707.965.773.257;-47.893.397.200.517
12;Viaduto 2 do Torto;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0030;ENTR. DF-007 (EPTT) (GRANJA DO TORTO) - ENTR. DF-009 (EPPN);5268;-15.713.836.168.393;-47.900.704.450.605
13;Ponte 1 sobre Rio Bananal;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0050;ENTR. DF-009 (EPPN) - ACESSO A ASA NORTE;7210;-15.727.479.365.843;-47.909.474.743.369
14;Ponte 2 sobre Rio Bananal;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0090;ENTR. DF-010 (EPAA) (ACESSO AO SAIN /SMU) - ENTR. EIXO MONUMENTAL;10908;-15.758.284.829.640;-47.928.688.842.069
15;Viaduto 2 na DF003 acesso ao Setor Militar;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0050;ENTR. DF-009 (EPPN) - ACESSO A ASA NORTE;7209;-15.727.647.671.498;-47.909.189.383.181
16;Viaduto Ayrton Senna;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-097 (EPAC);271;-15.785.130.175.296;-47.941.872.271.487
17;Passarela na DF 003 - Cruzeiro/Supermercado Extra;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0130;ENTR. DF-095 (EPCL) - ENTR. DF-085 (EPTG);15567;-15.791.533.246.573;-47.944.068.658.822
18;Viaduto sobre a DF-003 acesso SIA;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF003 ;003EDF0130;ENTR. DF-095 (EPCL) - ENTR. DF-085 (EPTG);17004;-15.808.180.308.413;-47.948.178.916.692
19;Viaduto 1 sobre a DF-003 acesso ao Guará;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-087 (EPVL);29;-15.810.093.292.320;-47.948.506.489.922
20;Viaduto 2 sobre a DF-003 acesso ao Guará;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF085 ;085EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-087 (EPVL);29;-15.809.907.432.070;-47.948.473.593.422
21;Passarela sobre a BR-020 Acesso I a Sobradinho;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;2626;-15.680.892.492.250;-47.835.000.626.000
22;Passarela sobre a BR 010 Acesso II a Sobradinho;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0018;ACESSO II A SOBRADINHO - ENTR. DF-230;9516;-15.650.378.318.750;-47.774.488.686.000
23;Passsarela sobre a BR 020 Acesso a Sobradinho;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0016;ACESSO I A SOBRADINHO - ACESSO II A SOBRADINHO;6593;-15.661.589.986.750;-47.798.698.815.750
24;Viaduto 1 na BR-020 entrada Sobradinho;VIAD. TRANSPOSIÇÃO RODOV.;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;5913;-15.664.016.300.000;-47.804.898.973.500
25;Viaduto 2 na BR-020 entrada Sobradinho;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;5915;-15.664.534.090.500;-47.804.639.499.250
26;Ponte 1 sobre Ribeirão Sobradinho;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;5462;-15.666.249.681.250;-47.809.122.803.000
27;Ponte 2 sobre Ribeirão Sobradinho;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;5472;-15.666.442.211.500;-47.808.908.848.250
28;Ponte 1 sobre Ribeirão Mestre d'Armas;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR010 ;010BDF0020;ENTR. DF-230 - ENTR. DF-128;20768;-15.607.070.767.500;-47.691.374.339.750
29;Ponte 2 sobre Ribeirão Mestre d'Armas;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR010 ;010BDF0020;ENTR. DF-230 - ENTR. DF-128;20764;-15.606.854.831.750;-47.691.447.661.000
30;Passarela sobre a BR-020;PASSARELA;PRIMEIRO DISTRITO RODOVIÁRIO;BR010 ;010BDF0020;ENTR. DF-230 - ENTR. DF-128;19986;-15.603.419.416.500;-47.685.061.420.500
31;Ponte 1 sobre Córrego Fumal;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR010 ;010BDF0022;ENTR. DF-128 - ACESSO APLANALTINA;23304;-15.595.541.928.250;-47.668.960.602.500
32;Ponte 2 sobre Córrego do Fumal;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;BR010 ;010BDF0022;ENTR. DF-128 - ACESSO APLANALTINA;23307;-15.595.293.297.250;-47.668.990.325.500
33;Viaduto na DF 007;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF007 ;007EDF0030;ENTR. DF-009 (EPPN) - ENTR. DF-002 (PONTE DO BRAGHETTO);2018;-15.725.291.367.250;-47.897.431.070.500
34;Viaduto 1 na DF 002 sobre a DF-007;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF007 ;007EDF0030;ENTR. DF-009 (EPPN) - ENTR. DF-002 (PONTE DO BRAGHETTO);1673;-15.724.310.555.750;-47.896.172.909.750
35;Viaduto 2 na DF 002 sobre a DF-007;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF007 ;007EDF0030;ENTR. DF-009 (EPPN) - ENTR. DF-002 (PONTE DO BRAGHETTO);1673;-15.724.370.594.250;-47.896.326.157.250
36;Ponte 1 sobre Córrego do Torto;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0012;ENTR. DF-006 (EPCA) - ENTR. DF-442;1308;-15.714.921.714.500;-47.877.149.343.750
37;Ponte 2 sobre Córrego do Torto;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0012;ENTR. DF-006 (EPCA) - ENTR. DF-442;1308;-15.714.668.748.750;-47.877.146.981.000
38;Passarela sobre a DF-005;PASSARELA;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0012;ENTR. DF-006 (EPCA) - ENTR. DF-442;1573;-15.714.830.530.500;-47.874.680.660.500
39;Ponte 2 sobre Córrego Urubu;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0012;ENTR. DF-006 (EPCA) - ENTR. DF-442;2630;-15.717.414.444.500;-47.865.177.618.750
40;Ponte 2 sobre Córrego Tamanduá;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF005 ;005EDF0014;ENTR. DF-442 - ENTR. DF-015 (EPTM);9446;-15.750.170.638.500;-47.814.717.599.000
41;Viaduto 1 na DF-025 sobre acesso a Ponte JK;VIAD. TRANSPOSIÇÃO RODOV.;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0090;ENTR. DF-035 (EPCV) - ENTR. DF-027 (EPJK);21294;-15.834.721.027.500;-47.824.836.762.750
42;Viaduto 2 na DF-025 sobre acesso a Ponte JK;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF027 ;027EDF0010;ENTR. DF-025 (EPDB)/ACESSOÀ PONTE JK - ENTR. DF-001 (EPCT);25;-15.834.992.784.500;-47.824.859.239.000
43;Ponte 1 sobre Ribeirão cabeça de Veado;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0070;ACESSO À PONTE HONESTINO GUIMARÃES - ENTR. DF-035 (EPCV);16541;-15.854.781.553.750;-47.858.511.889.500
44;Ponte 2 sobre Ribeirão cabeça de Veado;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0070;ACESSO À PONTE HONESTINO GUIMARÃES - ENTR. DF-035 (EPCV);16524;-15.855.257.427.500;-47.858.294.631.500
45;Ponte 1 sobre Ribeirão do Gama;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0070;ACESSO À PONTE HONESTINO GUIMARÃES - ENTR. DF-035 (EPCV);14733;-15.858.357.778.500;-47.874.103.222.250
46;Ponte 2 sobre Ribeirão do Gama;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0070;ACESSO À PONTE HONESTINO GUIMARÃES - ENTR. DF-035 (EPCV);14732;-15.858.477.808.750;-47.874.187.816.500
47;Viaduto sobre via de acesso ao Logo Sul;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0050;ACESSO À PONTE PRESIDENTE MEDICI - ACESSO À PONTE HONESTINO GUIMARÃES;10991;-15.830.688.052.250;-47.871.599.970.750
48;Viaduto encontro Eixo Rod Sul entrada Aeroporto;VIAD. TRANSPOSIÇÃO RODOV.;SEGUNDO DISTRITO RODOVIÁRIO;DF047 ;047EDF0030;ENTR. DF-025 (EPDB) - ENTR. DF-051(EPGU)/DF-004 (EPNA);3619;-15.855.014.314.973;-47.933.774.417.259
49;Viaduto sobre a EPDB;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF025 ;025EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-047 (EPAR);2555;-15.862.759.054.692;-47.937.982.287.350
51;Viaduto sobre Ferrovia;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0230;ENTR. DF-055 (EPVB) - ENTR. DF-065 (EPIP);25087;-15.883.462.455.528;-47.960.328.176.048
52;Viaduto 2 sobre via Férrea;VIAD. SOBRE FERROVIA;TERCEIRO DISTRITO RODOVIÁRIO;DF003 ;003EDF0230;ENTR. DF-055 (EPVB) - ENTR. DF-065 (EPIP);25088;-15.883.493.767.935;-47.960.468.783.710
53;Viaduto 1 de acesso ao Guará;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF051 ;051EDF0030;ENTR. DF-003 (EPIA) - ACESSO AO GUARÁ II;3123;-15.839.824.671.135;-47.955.838.506.836
54;Viaduto 2 de acesso ao Guará;VIAD. SOBRE ROD./RUA;TERCEIRO DISTRITO RODOVIÁRIO;DF051 ;051EDF0030;ENTR. DF-003 (EPIA) - ACESSO AO GUARÁ II;3124;-15.839.658.571.707;-47.955.935.443.188
55;Ponte sobre Ribeirão Sonhém;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0110;ENTR. VC-201(B) - FIM DE TRECHO PAVIMENTADO (Km 34,6);31670;-15.524.377.808.250;-47.816.563.432.750
56;Ponte sobre Rio Palmeiras;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0130;FIM DE TRECHO PAVIMENTADO (Km 34,6) - ENTR. DF-131;37799;-15.527.353.135.750;-47.763.788.159.500
57;Ponte sobre Córrego Mentira;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;VC201 ;201EVC0010;ENTR. DF-205(A) - ENTR. DF-205(B);76478;-15.502.954.204.750;-47.854.371.158.750
58;Ponte do Bragheto;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF007 ;007EDF0030;ENTR. DF-009 (EPPN) - ENTR. DF-002 (PONTE DO BRAGHETTO);1387;-15.730.706.674.250;-47.894.204.004.000
59;Ponte sobre Córrego do Ouro;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;VC201 ;201EVC0010;ENTR. DF-205(A) - ENTR. DF-205(B);67406;-15.512.421.818.750;-47.922.174.281.500
60;Ponte sobre Córrego Pedreira;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;VC201 ;201EVC0010;ENTR. DF-205(A) - ENTR. DF-205(B);1481;-15.509.685.215.485;-47.960.813.443.927
61;Ponte sobre Catingueiro;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0030;ENTR. VC-201(A) - INÍCIO DE TRECHO PAVIMENTADO;10892;-15.573.472.324.666;-47.939.785.501.666
62;Ponte sobre Ribeirão Contagem;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0050;INÍCIO DE TRECHO PAVIMENTADO - ENTR. DF-150;17991;-15.592.339.074.250;-47.886.202.911.000
63;Viaduto de acesso a Fábrica Cimento Tocantins;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0070;ENTR. DF-150 - ENTR. DF-326;20116;-15.590.431.062.250;-47.870.006.680.000
64;Ponte sobre Ribeirão Sobradinho;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF326 ;326EDF0050;ENTR. VC-215 - ACESSO A SOBRADINHO;9379;-15.636.929.909.250;-47.802.927.012.250
65;Ponte sobre Córrego Capão Grande;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;VC249 ;249EVC0010;ENTR. DF-440 - ÁREA DE DESENVOLVIMENTO DE SOBRADINHO;83819;-15.666.924.062.500;-47.806.137.805.000
66;Viaduto 1 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0050;ENTR. DF-008 (EPUB) - ACESSO À UnB;5983;-15.775.540.994.750;-47.864.225.423.000
67;Viaduto 1 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0050;ENTR. DF-008 (EPUB) - ACESSO À UnB;5983;-15.775.503.276.000;-47.864.103.508.000
68;Ponte sobre Ribeirão Água Doce ou Cafuringa;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF205 ;205EDF0010;DIVISA GO/DF - ENTR. VC-201(A);165;-15.501.881.795.250;-47.976.275.061.750
69;Ponte sobre Ribeirão das Salinas;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;VC201 ;201EVC0010;ENTR. DF-205(A) - ENTR. DF-205(B);2264;-15.503.651.940.750;-47.966.018.798.500
71;Ponte sobre Ribeirão Sobradinho;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;BR010 ;010BDF0015;ENTR. DF-440 - ACESSO I A SOBRADINHO;4950;-15.713.269.668.750;-47.761.852.277.750
72;Ponte sobre Córrego do Meio;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF330 ;330EDF0030;ENTR. DF-444 - ENTR. BR-479/DF-250;7745;-15.699.740.671.250;-47.702.311.723.750
73;Ponte sobre Capão da Erva;PONTE;SEGUNDO DISTRITO RODOVIÁRIO;DF330 ;330EDF0030;ENTR. DF-444 - ENTR. BR-479/DF-250;11492;-15.728.342.384.000;-47.701.400.391.000
74;Ponte sobre Rio São Bartolomeu;PONTE;PRIMEIRO DISTRITO RODOVIÁRIO;DF250 ;250EDF0030;ENTR. DF-330 - ENTR. DF-130;12403;-15.734.257.704.000;-47.675.742.699.250
75;Viaduto sobre Ferrovia sentido Taguatinga;VIAD. SOBRE FERROVIA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0010;ENTR. DF-003 (EPIA) - ENTR. DF-097 (EPAC);2317;-15.791.082.756.222;-47.953.681.985.534
76;Viaduto sobre Rodovia e Ferrovia SCKIA;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF095 ;095EDF0030;ENTR. DF-097 (EPAC) - ENTR. DF-087 (EPVL);6490;-15.793.110.538.455;-47.977.239.870.731
77;Viaduto 1 sobre acesso a Ponte Costa e Silva;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0170;ACESSO À PONTE PRESIDENTE MÉDICI - ENTR. DF-047(EPAR)/DF-051(EPGU);16106;-15.835.918.996.500;-47.899.702.078.750
78;Viaduto 2 sobre acesso a Ponte Costa e Silva;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0170;ACESSO À PONTE PRESIDENTE MÉDICI - ENTR. DF-047(EPAR)/DF-051(EPGU);16107;-15.835.608.924.250;-47.899.842.145.750
79;Viaduto 1 na DF-004 aceso a 2 Ponte;VIAD. EM ENCOSTA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0150;ACESSO À PONTE HONESTINO GUIMARÃES - ACESSO À PONTE PRESIDENTE MÉDICI;13306;-15.819.493.021.250;-47.879.608.575.250
80;Viaduto 2 na DF-004 aceso a 2 Ponte;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0150;ACESSO À PONTE HONESTINO GUIMARÃES - ACESSO À PONTE PRESIDENTE MÉDICI;13308;-15.819.139.495.500;-47.879.794.053.750
81;Viaduto 1 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0130;ACESSO À PONTE JK - ACESSO À PONTE HONESTINO GUIMARÃES;10204;-15.805.278.515.250;-47.854.162.738.500
82;Viaduto 2 na DF-004;VIAD. SOBRE ROD./RUA;SEGUNDO DISTRITO RODOVIÁRIO;DF004 ;004EDF0130;ACESSO À PONTE JK - ACESSO À PONTE HONESTINO GUIMARÃES;10203;-15.804.975.441.750;-47.854.368.617.000
